filepath,label,class_name
OS Collected Data/Normal/Normal 502.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 444.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 164.png,1,Osteoporosis
OS Collected Data/Normal/Normal 522.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 488.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 375.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 364.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 378.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 417.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 536.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 572.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 307.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 151.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 147.jpg,0,Normal
OS Collected Data/Normal/Normal 360.png,0,Normal
OS Collected Data/Normal/Normal 456.jpg,0,Normal
OS Collected Data/Normal/Normal 447.jpg,0,Normal
OS Collected Data/Normal/Normal 411.jpg,0,Normal
OS Collected Data/Normal/Normal 405.JPEG,0,Normal
OS Collected Data/Normal/Normal 112.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 453.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 439.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 418.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 566.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 570.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 480.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 475.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 126.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 439.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 379.jpg,1,Osteoporosis
